Českárepublika,-0.3,1.2,3.2,7.3,13.6,17.1,18.8,20.8,13.1,6.2,3.3,-1.5,8.6
PrahaaStředočeský,0.6,2.1,4.0,8.1,14.7,18.0,19.5,21.2,13.9,6.9,4.0,-0.7,9.4
Jihočeský,-0.6,0.8,2.8,6.4,13.2,16.0,18.2,20.2,12.6,6.0,3.4,-2.1,8.1
Plzeňský,-0.3,1.2,3.0,6.5,13.6,16.4,18.1,19.9,12.6,5.9,3.5,-1.6,8.2
Karlovarský,-0.9,0.6,2.1,5.8,12.7,15.6,17.0,18.2,11.5,4.8,2.7,-1.9,7.4
Ústecký,0.4,2.0,3.5,7.7,14.3,17.7,18.9,20.0,13.0,6.1,3.4,-0.9,8.9
Liberecký,-0.6,1.0,2.7,6.5,13.1,17.1,18.1,19.3,12.2,5.5,2.8,-1.2,8.1
Královéhradecký,-0.5,1.0,3.0,7.2,13.7,17.7,18.9,20.7,13.1,6.0,3.0,-1.3,8.6
Pardubický,-0.5,1.1,3.1,7.4,13.6,17.5,19.1,21.3,13.3,6.2,3.1,-1.7,8.6
Vysočina,-0.9,0.6,2.7,6.8,13.1,16.6,18.4,20.8,12.9,5.6,2.5,-2.5,8.1
Jihomoravský,0.2,2.1,4.1,8.7,14.5,18.2,20.3,22.8,14.5,7.2,3.6,-1.0,9.6
Olomoucký,-0.8,0.9,2.9,7.4,13.2,17.2,19.1,21.7,13.1,6.0,2.9,-1.8,8.5
Zlínský,-1.0,0.6,3.0,7.7,13.2,17.3,19.3,22.0,13.1,6.7,3.4,-1.8,8.6
Moravskoslezský,-0.9,0.5,2.7,7.2,12.5,16.8,18.9,21.5,12.5,5.8,3.2,-1.9,8.3
